 Equilibrium Cooling Curve Calculation(CIE optically thin):
 :::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 produced by MAPPINGS V v5.1.17   Run:cool_0.3solar                                                                   

 Abundances (by number H = 1.0)
 ::::::::::::::::::::::::::::::

 Abundances:30 Elements:

 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
  H ,   0.000,  12.000,   0.000,   0.000,   0.000,  12.000, 7.542E-01
  He,  -1.092,  10.908,   0.000,   0.000,  -1.092,  10.908, 2.423E-01
  Li, -10.950,   1.050,   0.000,   0.000, -10.950,   1.050, 5.827E-11
  Be, -10.620,   1.380,   0.000,   0.000, -10.620,   1.380, 1.618E-10
  B ,  -9.300,   2.700,   0.000,   0.000,  -9.300,   2.700, 4.054E-09
  C ,  -4.482,   7.518,   0.000,   0.000,  -4.482,   7.518, 2.962E-04
  N ,  -5.512,   6.488,   0.000,   0.000,  -5.512,   6.488, 3.224E-05
  O ,  -3.833,   8.167,   0.000,   0.000,  -3.833,   8.167, 1.759E-03
  F ,  -7.963,   4.037,   0.000,   0.000,  -7.963,   4.037, 1.548E-07
  Ne,  -4.593,   7.407,   0.000,   0.000,  -4.593,   7.407, 3.855E-04
  Na,  -6.273,   5.727,   0.000,   0.000,  -6.273,   5.727, 9.175E-06
  Mg,  -4.953,   7.047,   0.000,   0.000,  -4.953,   7.047, 2.027E-04
  Al,  -6.083,   5.917,   0.000,   0.000,  -6.083,   5.917, 1.668E-05
  Si,  -5.013,   6.987,   0.000,   0.000,  -5.013,   6.987, 2.040E-04
  P ,  -7.113,   4.887,   0.000,   0.000,  -7.113,   4.887, 1.787E-06
  S ,  -5.383,   6.617,   0.000,   0.000,  -5.383,   6.617, 9.933E-05
  Cl,  -7.153,   4.847,   0.000,   0.000,  -7.153,   4.847, 1.865E-06
  Ar,  -6.123,   5.877,   0.000,   0.000,  -6.123,   5.877, 2.252E-05
  K ,  -7.493,   4.507,   0.000,   0.000,  -7.493,   4.507, 9.402E-07
  Ca,  -6.213,   5.787,   0.000,   0.000,  -6.213,   5.787, 1.836E-05
  Sc,  -9.373,   2.627,   0.000,   0.000,  -9.373,   2.627, 1.425E-08
  Ti,  -7.573,   4.427,   0.000,   0.000,  -7.573,   4.427, 9.574E-07
  V ,  -8.593,   3.407,   0.000,   0.000,  -8.593,   3.407, 9.730E-08
  Cr,  -6.883,   5.117,   0.000,   0.000,  -6.883,   5.117, 5.094E-06
  Mn,  -7.093,   4.907,   0.000,   0.000,  -7.093,   4.907, 3.318E-06
  Fe,  -5.033,   6.967,   0.000,   0.000,  -5.033,   6.967, 3.873E-04
  Co,  -7.533,   4.467,   0.000,   0.000,  -7.533,   4.467, 1.292E-06
  Ni,  -6.313,   5.687,   0.000,   0.000,  -6.313,   5.687, 2.136E-05
  Cu,  -8.333,   3.667,   0.000,   0.000,  -8.333,   3.667, 2.209E-07
  Zn,  -7.963,   4.037,   0.000,   0.000,  -7.963,   4.037, 5.327E-07
 ====================================================================
  Base Mass Fractions:
  Mass  X,    0.75421, Y,   0.24232, Z,   0.00347
  Gas Phase Mass Fractions:
  Mass  X,    0.75421, Y,   0.24232, Z,   0.00347
 ====================================================================
 Lambda Cooling Function and X-ray Fractions:
 ::::::::::::::::::::::::::::::::::::::::::::

            T ,            n_e,            n_H,            n^2,           rho ,         FHI   ,         FHII  ,            mu ,     Losses (L),        L/(n^2),     0.0-0.1keV,     0.1-0.5keV,     0.5-1.0keV,     1.0-2.0keV,    2.0-10.0keV
           (K),        (/cm^3),        (/cm^3),        (/cm^6),       (g/cm^3),               ,               ,          (amu),   (erg/cm^3/s),   (erg.cm^3/s),     (fraction),     (fraction),     (fraction),     (fraction),     (fraction)
 1.0000000E+10,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.5047788E-11,   1.000000    ,  0.5955036    ,  2.4749169E-22,  4.9093537E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 8.9125094E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.6963250E-11,   1.000000    ,  0.5955036    ,  2.3381453E-22,  4.6380476E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 7.9432823E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.9123015E-11,   1.000000    ,  0.5955036    ,  2.2089385E-22,  4.3817474E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 7.0794578E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  2.1561434E-11,   1.000000    ,  0.5955036    ,  2.0868782E-22,  4.1396231E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 6.3095734E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  2.4310989E-11,   1.000000    ,  0.5955036    ,  1.9715689E-22,  3.9108906E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 5.6234133E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  2.7411812E-11,   1.000000    ,  0.5955036    ,  1.8626384E-22,  3.6948113E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 5.0118723E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  3.0912412E-11,   1.000000    ,  0.5955036    ,  1.7597387E-22,  3.4906951E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 4.4668359E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  3.4861779E-11,   1.000000    ,  0.5955036    ,  1.6625412E-22,  3.2978898E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 3.9810717E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  3.9319612E-11,   1.000000    ,  0.5955036    ,  1.5707345E-22,  3.1157780E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 3.5481339E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  4.4348286E-11,   1.000000    ,  0.5955036    ,  1.4840229E-22,  2.9437732E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 3.1622777E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  5.0023206E-11,   1.000000    ,  0.5955036    ,  1.4021236E-22,  2.7813140E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 2.8183829E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  5.6431977E-11,   1.000000    ,  0.5955036    ,  1.3247685E-22,  2.6278691E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 2.5118864E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  6.3664363E-11,   1.000000    ,  0.5955036    ,  1.2517048E-22,  2.4829368E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 2.2387211E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  7.1829764E-11,   1.000000    ,  0.5955036    ,  1.1826941E-22,  2.3460443E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.9952623E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  8.1048501E-11,   1.000000    ,  0.5955036    ,  1.1175123E-22,  2.2167468E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.7782794E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  9.1456705E-11,   1.000000    ,  0.5955036    ,  1.0559477E-22,  2.0946246E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.5848932E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.0321354E-10,   1.000000    ,  0.5955036    ,  9.9780066E-23,  1.9792816E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.4125375E+09,   1.164112    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.1649047E-10,   1.000000    ,  0.5955037    ,  9.4288383E-23,  1.8703462E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.2589254E+09,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.3148521E-10,   1.000000    ,  0.5955037    ,  8.9102607E-23,  1.7674790E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.1220185E+09,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.4842543E-10,   1.000000    ,  0.5955037    ,  8.4206626E-23,  1.6703602E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 1.0000000E+09,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.6756251E-10,   1.000000    ,  0.5955037    ,  7.9585103E-23,  1.5786857E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 8.9125094E+08,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  1.8918418E-10,   1.000000    ,  0.5955037    ,  7.5223343E-23,  1.4921640E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 7.9432823E+08,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  2.1359258E-10,   1.000000    ,  0.5955038    ,  7.1106930E-23,  1.4105091E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 7.0794578E+08,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  2.4113592E-10,   1.000000    ,  0.5955038    ,  6.7222144E-23,  1.3334489E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 6.3095734E+08,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  2.7220312E-10,   1.000000    ,  0.5955038    ,  6.3556060E-23,  1.2607270E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 5.6234133E+08,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  3.0724059E-10,   1.000000    ,  0.5955039    ,  6.0096525E-23,  1.1921022E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 5.0118723E+08,   1.164111    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  3.4675586E-10,   1.000000    ,  0.5955039    ,  5.6832206E-23,  1.1273499E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 4.4668359E+08,   1.164110    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  3.9132005E-10,   1.000000    ,  0.5955040    ,  5.3752484E-23,  1.0662593E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 3.9810717E+08,   1.164110    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  4.4157314E-10,   1.000000    ,  0.5955041    ,  5.0847379E-23,  1.0086325E-23,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 3.5481339E+08,   1.164110    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  4.9824208E-10,   1.000000    ,  0.5955041    ,  4.8107505E-23,  9.5428336E-24,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 3.1622777E+08,   1.164109    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  5.6211911E-10,   1.000000    ,  0.5955042    ,  4.5523979E-23,  9.0303560E-24,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 2.8183829E+08,   1.164109    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  6.3410145E-10,   1.000000    ,  0.5955043    ,  4.3088398E-23,  8.5472257E-24,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
 2.5118864E+08,   1.164108    ,   1.000000    ,   1.081156    ,  2.2202487E-24,  7.1521189E-10,   1.000000    ,  0.5955045    ,  4.0792824E-23,  8.0918681E-24,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    
