 Equilibrium Cooling Curve Calculation(CIE optically thin):
 :::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 produced by MAPPINGS V v5.1.10   Run:CIE 4.00<T<9.00 nH=0.00 Norm=3                                                  

 Abundances (by number H = 1.0)
 ::::::::::::::::::::::::::::::

 Abundances:
 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
  H ,   0.000,  12.000,   0.000,   0.000,   0.000,  12.000, 7.374E-01
  He,  -1.070,  10.930,   0.000,   0.000,  -1.070,  10.930, 2.492E-01
  Li, -10.950,   1.050,   0.000,   0.000, -10.950,   1.050, 5.698E-11
  Be, -10.620,   1.380,   0.000,   0.000, -10.620,   1.380, 1.582E-10
  B ,  -9.300,   2.700,   0.000,   0.000,  -9.300,   2.700, 3.964E-09
  C ,  -3.570,   8.430,   0.000,  -0.150,  -3.570,   8.430, 2.365E-03
  N ,  -4.170,   7.830,   0.000,  -0.231,  -4.170,   7.830, 6.928E-04
  O ,  -3.310,   8.690,   0.000,  -0.210,  -3.310,   8.690, 5.733E-03
  F ,  -7.440,   4.560,   0.000,   0.000,  -7.440,   4.560, 5.046E-07
  Ne,  -4.070,   7.930,   0.000,   0.000,  -4.070,   7.930, 1.257E-03
  Na,  -5.760,   6.240,   0.000,  -1.000,  -5.760,   6.240, 2.923E-05
  Mg,  -4.400,   7.600,   0.000,  -1.081,  -4.400,   7.600, 7.079E-04
  Al,  -5.550,   6.450,   0.000,  -1.387,  -5.550,   6.450, 5.563E-05
  Si,  -4.490,   7.510,   0.000,  -0.810,  -4.490,   7.510, 6.649E-04
  P ,  -6.590,   5.410,   0.000,   0.000,  -6.590,   5.410, 5.825E-06
  S ,  -4.880,   7.120,   0.000,  -0.080,  -4.880,   7.120, 3.092E-04
  Cl,  -6.500,   5.500,   0.000,  -1.000,  -6.500,   5.500, 8.202E-06
  Ar,  -5.600,   6.400,   0.000,   0.000,  -5.600,   6.400, 7.341E-05
  K ,  -6.970,   5.030,   0.000,   0.000,  -6.970,   5.030, 3.065E-06
  Ca,  -5.660,   6.340,   0.000,  -2.523,  -5.660,   6.340, 6.415E-05
  Sc,  -8.850,   3.150,   0.000,  -2.000,  -8.850,   3.150, 4.646E-08
  Ti,  -7.050,   4.950,   0.000,  -2.000,  -7.050,   4.950, 3.121E-06
  V ,  -8.070,   3.930,   0.000,  -2.000,  -8.070,   3.930, 3.172E-07
  Cr,  -6.360,   5.640,   0.000,  -2.000,  -6.360,   5.640, 1.660E-05
  Mn,  -6.570,   5.430,   0.000,  -2.000,  -6.570,   5.430, 1.082E-05
  Fe,  -4.500,   7.500,   0.000,  -1.310,  -4.500,   7.500, 1.292E-03
  Co,  -7.010,   4.990,   0.000,  -2.000,  -7.010,   4.990, 4.213E-06
  Ni,  -5.780,   6.220,   0.000,  -2.000,  -5.780,   6.220, 7.126E-05
  Cu,  -7.810,   4.190,   0.000,  -2.000,  -7.810,   4.190, 7.200E-07
  Zn,  -7.440,   4.560,   0.000,  -2.000,  -7.440,   4.560, 1.737E-06

 Base Mass XYZ:
 Mass  X,    0.73740, Y,   0.24923, Z,   0.01337
 Gas Phase Mass XYZ:
 Mass  X,    0.73740, Y,   0.24923, Z,   0.01337
  
 Lambda Cooling Function and X-ray Fractions:
 ::::::::::::::::::::::::::::::::::::::::::::

            T ,            n_e,            n_H,            n^2,           rho ,         FHI   ,         FHII  ,            mu ,     Losses (L),        L/(n^2),     0.0-0.1keV,     0.1-0.5keV,     0.5-1.0keV,     1.0-2.0keV,    2.0-10.0keV
           (K),        (/cm^3),        (/cm^3),        (/cm^6),       (g/cm^3),               ,               ,          (amu),   (erg/cm^3/s),   (erg.cm^3/s),     (fraction),     (fraction),     (fraction),     (fraction),     (fraction)
 1.0000000E+09,   1.179274    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  1.6756414E-10,   1.000000    ,  0.6036557    ,  8.6360629E-23,  1.6827323E-23,  4.8562610E-03,  1.4840761E-02,  1.5755890E-02,  2.7406434E-02,  0.1582670    
 8.9125094E+08,   1.179273    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  1.8918418E-10,   1.000000    ,  0.6036558    ,  8.1667761E-23,  1.5912925E-23,  5.3654805E-03,  1.6330331E-02,  1.7281832E-02,  2.9964569E-02,  0.1712411    
 7.9432823E+08,   1.179273    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  2.1359258E-10,   1.000000    ,  0.6036559    ,  7.7241196E-23,  1.5050415E-23,  5.9264188E-03,  1.7961597E-02,  1.8944917E-02,  3.2737951E-02,  0.1850059    
 7.0794578E+08,   1.179273    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  2.4113451E-10,   1.000000    ,  0.6036560    ,  7.3066527E-23,  1.4236988E-23,  6.5434839E-03,  1.9745233E-02,  2.0754051E-02,  3.5739220E-02,  0.1996135    
 6.3095734E+08,   1.179272    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  2.7220419E-10,   1.000000    ,  0.6036562    ,  6.9130203E-23,  1.3470002E-23,  7.2219988E-03,  2.1694781E-02,  2.2724149E-02,  3.9024079E-02,  0.2157082    
 5.6234133E+08,   1.179271    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  3.0724067E-10,   1.000000    ,  0.6036563    ,  6.5419478E-23,  1.2746975E-23,  7.9678034E-03,  2.3823494E-02,  2.4861007E-02,  4.2531215E-02,  0.2320046    
 5.0118723E+08,   1.179271    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  3.4675586E-10,   1.000000    ,  0.6036565    ,  6.1922454E-23,  1.2065587E-23,  8.7873239E-03,  2.6146455E-02,  2.7179277E-02,  4.6309451E-02,  0.2490286    
 4.4668359E+08,   1.179270    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  3.9131966E-10,   1.000000    ,  0.6036567    ,  5.8628128E-23,  1.1423696E-23,  9.6861351E-03,  2.8675776E-02,  2.9687833E-02,  5.0367396E-02,  0.2667587    
 3.9810717E+08,   1.179269    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  4.4157542E-10,   1.000000    ,  0.6036569    ,  5.5526297E-23,  1.0819312E-23,  1.0671224E-02,  3.1427334E-02,  3.2401940E-02,  5.4728197E-02,  0.2852070    
 3.5481339E+08,   1.179268    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  4.9824011E-10,   1.000000    ,  0.6036572    ,  5.2607495E-23,  1.0250593E-23,  1.1750243E-02,  3.4417541E-02,  3.5330838E-02,  5.9393533E-02,  0.3042094    
 3.1622777E+08,   1.179267    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  5.6211630E-10,   1.000000    ,  0.6036575    ,  4.9862750E-23,  9.7157887E-24,  1.2931609E-02,  3.7663014E-02,  3.8488645E-02,  6.4379769E-02,  0.3236518    
 2.8183829E+08,   1.179265    ,   1.000000    ,   1.086155    ,  2.2708519E-24,  6.3410017E-10,   1.000000    ,  0.6036579    ,  4.7283560E-23,  9.2132438E-24,  1.4221948E-02,  4.1174152E-02,  4.1877474E-02,  6.9680877E-02,  0.3433980    
